Browse.c(4): Error -27789: Server "10.64.150.9" has shut down the connection prematurely  	[MsgId: MERR-27789]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4478.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4468.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4479.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4469.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4480.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4470.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4481.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4471.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4482.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4472.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4483.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4473.	[MsgId: MMSG-10545]
Starting action Browse.	[MsgId: MMSG-15919]
Browse.c(4): web_url("bodgeit") started  	[MsgId: MMSG-26355]
Browse.c(4): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10061] Connection refused). Retrying with next proxy  	[MsgId: MMSG-26000]
Browse.c(4): Error -27722: Resolve/connect failed for the following proxies specified in the automatic configuration script: "PROXY 10.64.150.9:8080". Requested URL is "http://35.196.208.144:8181/bodgeit/".  	[MsgId: MERR-27722]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 6429.	[MsgId: MMSG-10545]
Browse.c(52): Resource "http://35.196.208.144:8181/bodgeit/style.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Browse.c(52): Resource "http://35.196.208.144:8181/bodgeit/js/util.js" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Browse.c(52): web_link("Thingies") was successful, 3002 body bytes, 249 header bytes  	[MsgId: MMSG-26386]
Browse.c(57): web_link("Your Basket") started  	[MsgId: MMSG-26355]
Browse.c(57): Linking to "http://35.196.208.144:8181/bodgeit/basket.jsp", Target Frame=""  	[MsgId: MMSG-27994]
Browse.c(57): Failed to connect to proxy 10.64.150.9:8080 - connect() failed (iErrorCode: [10013] Permission denied). Retrying with next proxy  	[MsgId: MMSG-26000]
